iter	Passed	Remaining
0	131	131705
1	133	66748
2	136	45272
3	138	34476
4	140	27932
5	142	23587
6	144	20510
7	146	18166
8	148	16349
9	150	14860
10	151	13653
11	153	12611
12	154	11728
13	155	10982
14	157	10327
15	158	9744
16	159	9228
17	160	8769
18	161	8351
19	162	7981
20	163	7639
21	165	7335
22	165	7041
23	166	6777
24	167	6534
25	168	6310
26	169	6100
27	169	5899
28	170	5712
29	171	5539
30	172	5376
31	172	5223
32	173	5079
33	174	4946
34	174	4821
35	175	4701
36	176	4586
37	176	4476
38	177	4372
39	178	4275
40	178	4182
41	179	4095
42	180	4010
43	180	3929
44	181	3851
45	182	3777
46	182	3705
47	183	3637
48	184	3572
49	184	3509
50	185	3449
51	186	3391
52	186	3335
53	187	3281
54	187	3229
55	188	3179
56	189	3131
57	189	3085
58	190	3040
59	191	2996
60	191	2955
61	192	2915
62	193	2875
63	194	2838
64	194	2800
65	195	2764
66	196	2729
67	196	2691
68	197	2658
69	197	2626
70	198	2595
71	198	2564
72	199	2534
73	200	2505
74	200	2477
75	201	2450
76	202	2424
77	202	2397
78	203	2372
79	204	2347
80	204	2323
81	205	2299
82	206	2277
83	206	2255
84	207	2231
85	208	2210
86	208	2187
87	209	2167
88	209	2148
89	210	2128
90	211	2109
91	211	2090
92	212	2072
93	213	2054
94	213	2036
95	214	2019
96	215	2002
97	215	1986
98	216	1970
99	217	1954
100	217	1938
101	218	1920
102	218	1905
103	219	1891
104	220	1877
105	220	1863
106	221	1849
107	222	1835
108	222	1822
109	223	1809
110	224	1796
111	224	1783
112	225	1770
113	226	1758
114	226	1746
115	227	1732
116	228	1721
117	228	1709
118	229	1696
119	229	1686
120	230	1675
121	231	1664
122	231	1651
123	232	1640
124	232	1629
125	233	1620
126	234	1609
127	234	1598
128	235	1588
129	235	1578
130	236	1569
131	237	1559
132	237	1551
133	238	1542
134	239	1533
135	239	1524
136	240	1515
137	241	1506
138	241	1497
139	242	1489
140	243	1480
141	243	1472
142	244	1464
143	244	1456
144	245	1448
145	246	1440
146	246	1432
147	247	1425
148	248	1417
149	248	1410
150	249	1403
151	250	1395
152	250	1388
153	251	1381
154	252	1374
155	252	1367
156	253	1361
157	254	1354
158	254	1347
159	255	1340
160	256	1334
161	256	1327
162	257	1321
163	258	1315
164	258	1309
165	259	1303
166	260	1297
167	260	1290
168	261	1285
169	262	1280
170	262	1274
171	263	1268
172	264	1262
173	264	1257
174	265	1251
175	266	1245
176	266	1240
177	267	1235
178	268	1230
179	268	1224
180	269	1218
181	269	1212
182	270	1207
183	271	1202
184	271	1197
185	272	1192
186	273	1187
187	273	1182
188	274	1177
189	275	1172
190	275	1168
191	276	1163
192	277	1158
193	277	1154
194	278	1149
195	279	1144
196	279	1140
197	280	1135
198	281	1131
199	281	1126
200	282	1122
201	283	1118
202	283	1113
203	284	1109
204	284	1104
205	285	1100
206	286	1096
207	286	1092
208	287	1088
209	288	1084
210	288	1080
211	289	1076
212	290	1072
213	290	1068
214	291	1064
215	292	1060
216	292	1056
217	293	1052
218	294	1048
219	294	1045
220	295	1041
221	296	1037
222	296	1034
223	297	1030
224	298	1026
225	298	1023
226	299	1019
227	300	1015
228	300	1012
229	301	1008
230	301	1005
231	302	1001
232	303	998
233	304	995
234	304	991
235	305	988
236	305	984
237	306	981
238	307	978
239	307	974
240	308	971
241	309	968
242	309	964
243	310	961
244	311	958
245	311	955
246	312	952
247	313	949
248	313	946
249	314	943
250	315	940
251	315	937
252	316	934
253	317	931
254	317	928
255	318	925
256	319	922
257	319	919
258	320	916
259	321	913
260	321	910
261	322	907
262	322	904
263	323	902
264	324	899
265	324	896
266	325	893
267	326	891
268	326	888
269	327	885
270	328	883
271	328	880
272	329	877
273	330	875
274	331	872
275	331	870
276	332	867
277	333	864
278	333	862
279	334	859
280	334	857
281	335	854
282	336	852
283	336	849
284	337	847
285	338	844
286	338	841
287	339	839
288	340	837
289	341	835
290	341	832
291	342	830
292	343	827
293	343	825
294	344	823
295	345	820
296	345	818
297	346	816
298	347	813
299	347	811
300	348	809
301	349	806
302	349	804
303	350	802
304	350	799
305	351	797
306	352	795
307	352	792
308	353	790
309	354	788
310	354	786
311	355	784
312	356	782
313	356	779
314	357	777
315	358	775
316	359	774
317	360	773
318	361	771
319	362	769
320	362	767
321	363	765
322	364	763
323	364	761
324	365	759
325	366	756
326	366	754
327	367	752
328	368	750
329	368	748
330	369	746
331	369	744
332	370	742
333	371	740
334	372	738
335	372	736
336	373	734
337	374	732
338	374	730
339	375	728
340	376	726
341	376	724
342	377	722
343	378	720
344	378	718
345	379	716
346	379	715
347	380	713
348	381	711
349	381	709
350	382	707
351	383	705
352	383	703
353	384	701
354	385	699
355	385	698
356	386	696
357	387	694
358	387	692
359	388	690
360	389	688
361	389	686
362	390	685
363	391	683
364	391	681
365	392	679
366	392	677
367	393	675
368	394	674
369	394	672
370	395	670
371	396	668
372	396	666
373	397	665
374	398	663
375	398	661
376	399	660
377	400	658
378	400	656
379	401	655
380	402	653
381	402	651
382	403	649
383	404	648
384	404	646
385	405	644
386	406	643
387	406	641
388	407	639
389	407	638
390	408	636
391	409	634
392	409	633
393	410	631
394	411	629
395	411	628
396	412	626
397	415	628
398	416	626
399	417	625
400	417	624
401	418	622
402	419	621
403	420	620
404	420	618
405	421	617
406	422	615
407	423	614
408	423	612
409	424	611
410	425	609
411	426	608
412	427	607
413	427	605
414	428	604
415	429	602
416	430	601
417	430	600
418	431	598
419	432	597
420	433	595
421	433	594
422	434	592
423	435	591
424	436	589
425	436	588
426	437	587
427	438	586
428	439	584
429	440	583
430	440	582
431	441	580
432	442	579
433	443	577
434	443	576
435	444	575
436	445	573
437	445	572
438	446	570
439	447	569
440	447	567
441	448	566
442	449	564
443	449	563
444	450	562
445	451	560
446	452	559
447	452	557
448	453	556
449	454	555
450	455	553
451	455	552
452	456	551
453	457	549
454	458	548
455	458	547
456	459	546
457	460	544
458	461	543
459	461	542
460	462	540
461	463	539
462	463	538
463	464	536
464	465	535
465	466	534
466	466	532
467	467	531
468	468	530
469	469	529
470	469	527
471	470	526
472	471	525
473	472	523
474	472	522
475	473	521
476	474	520
477	475	518
478	475	517
479	476	516
480	477	514
481	477	513
482	478	512
483	479	510
484	479	509
485	480	507
486	480	506
487	481	505
488	482	504
489	483	502
490	483	501
491	484	500
492	485	499
493	486	497
494	486	496
495	487	495
496	487	493
497	488	492
498	489	491
499	490	490
500	491	489
501	491	487
502	492	486
503	493	485
504	493	484
505	494	482
506	495	481
507	496	480
508	496	479
509	497	477
510	498	476
511	498	475
512	499	474
513	500	473
514	501	471
515	501	470
516	502	469
517	503	468
518	504	467
519	504	466
520	505	464
521	506	463
522	506	462
523	507	461
524	508	459
525	509	458
526	509	457
527	510	456
528	511	455
529	512	454
530	512	452
531	513	451
532	514	450
533	514	449
534	515	448
535	516	446
536	516	445
537	517	444
538	518	443
539	519	442
540	519	441
541	520	439
542	521	438
543	521	437
544	522	436
545	523	435
546	524	433
547	524	432
548	525	431
549	526	430
550	526	429
551	527	428
552	528	426
553	528	425
554	529	424
555	530	423
556	530	422
557	531	421
558	532	419
559	533	418
560	533	417
561	534	416
562	535	415
563	535	414
564	536	413
565	537	412
566	537	410
567	538	409
568	539	408
569	540	407
570	540	406
571	541	405
572	542	404
573	542	402
574	543	401
575	544	400
576	544	399
577	545	398
578	546	397
579	547	396
580	547	395
581	548	393
582	549	392
583	549	391
584	550	390
585	551	389
586	552	388
587	552	387
588	553	386
589	554	385
590	554	383
591	555	382
592	556	381
593	556	380
594	557	379
595	558	378
596	558	377
597	559	376
598	560	375
599	561	374
600	562	373
601	563	372
602	564	371
603	565	370
604	566	369
605	566	368
606	567	367
607	568	366
608	569	365
609	569	364
610	570	363
611	571	362
612	571	360
613	572	359
614	573	358
615	573	357
616	574	356
617	575	355
618	575	354
619	576	353
620	577	352
621	578	351
622	578	350
623	579	349
624	580	348
625	580	347
626	581	345
627	582	344
628	582	343
629	583	342
630	584	341
631	584	340
632	585	339
633	586	338
634	587	337
635	587	336
636	588	335
637	589	334
638	589	333
639	590	332
640	591	331
641	591	330
642	592	329
643	593	327
644	593	326
645	594	325
646	595	324
647	596	323
648	596	322
649	597	321
650	598	320
651	598	319
652	599	318
653	600	317
654	600	316
655	601	315
656	602	314
657	603	313
658	603	312
659	604	311
660	605	310
661	605	309
662	606	308
663	607	307
664	607	306
665	608	305
666	609	304
667	609	303
668	610	302
669	611	301
670	612	300
671	612	299
672	613	298
673	614	297
674	614	296
675	615	295
676	616	294
677	616	293
678	617	292
679	618	291
680	619	290
681	619	288
682	620	287
683	621	286
684	621	285
685	622	284
686	623	283
687	623	282
688	624	281
689	625	280
690	626	279
691	626	278
692	627	277
693	628	276
694	628	275
695	629	274
696	630	274
697	631	273
698	631	272
699	632	271
700	633	270
701	633	269
702	634	268
703	635	267
704	635	266
705	636	265
706	637	264
707	637	263
708	638	262
709	639	261
710	640	260
711	640	259
712	641	258
713	642	257
714	642	256
715	643	255
716	644	254
717	644	253
718	645	252
719	646	251
720	647	250
721	647	249
722	648	248
723	649	247
