iter	Passed	Remaining
0	145	145184
1	146	73127
2	147	49070
3	148	37009
4	149	29783
5	150	24983
6	151	21549
7	152	18971
8	156	17188
9	157	15591
10	158	14258
11	159	13155
12	161	12236
13	162	11433
14	163	10735
15	164	10131
16	165	9595
17	169	9249
18	171	8853
19	172	8462
20	174	8121
21	175	7797
22	177	7542
23	178	7267
24	179	7018
25	183	6857
26	184	6662
27	186	6461
28	187	6278
29	188	6105
30	190	5956
31	191	5797
32	192	5648
33	193	5507
34	194	5372
35	198	5304
36	199	5192
37	200	5084
38	202	4982
39	203	4882
40	204	4785
41	205	4695
42	207	4610
43	208	4533
44	212	4518
45	215	4462
46	216	4395
47	218	4330
48	219	4265
49	221	4200
50	222	4135
51	223	4079
52	228	4077
53	230	4031
54	231	3981
55	233	3928
56	234	3874
57	235	3824
58	236	3776
59	240	3775
60	242	3729
61	243	3686
62	244	3643
63	246	3599
64	247	3556
65	248	3514
66	249	3472
67	250	3432
68	251	3393
69	254	3378
70	256	3355
71	258	3326
72	259	3291
73	260	3257
74	261	3224
75	262	3192
76	263	3159
77	264	3128
78	265	3097
79	266	3068
80	270	3064
81	271	3040
82	272	3008
83	273	2982
84	274	2957
85	276	2934
86	277	2909
87	278	2884
88	279	2859
89	282	2854
90	284	2842
91	286	2823
92	287	2801
93	288	2779
94	289	2756
95	290	2733
96	291	2711
97	292	2689
98	293	2667
99	294	2648
100	296	2636
101	298	2629
102	300	2616
103	301	2597
104	302	2578
105	303	2560
106	304	2542
107	305	2525
108	306	2508
109	307	2491
110	308	2474
111	311	2465
112	313	2461
113	315	2450
114	316	2435
115	317	2419
116	318	2402
117	319	2387
118	320	2371
119	321	2358
120	322	2344
121	323	2329
122	326	2330
123	328	2319
124	329	2306
125	330	2294
126	331	2279
127	332	2267
128	333	2254
129	335	2243
130	336	2231
131	337	2219
132	338	2207
133	342	2214
134	344	2206
135	345	2196
136	346	2184
137	348	2173
138	349	2164
139	350	2154
140	352	2145
141	352	2132
142	358	2146
143	359	2137
144	360	2127
145	363	2124
146	364	2116
147	366	2107
148	367	2098
149	370	2099
150	372	2095
151	374	2088
152	377	2089
153	380	2089
154	381	2081
155	385	2085
156	388	2084
157	390	2079
158	393	2078
159	396	2080
160	397	2073
161	401	2076
162	403	2069
163	404	2062
164	406	2055
165	407	2047
166	408	2039
167	410	2031
168	413	2031
169	414	2025
170	416	2018
171	417	2010
172	419	2003
173	420	1995
174	421	1986
175	422	1978
176	423	1970
177	424	1962
178	429	1968
179	431	1966
180	433	1959
181	434	1952
182	435	1944
183	436	1937
184	438	1930
185	439	1923
186	443	1928
187	446	1929
188	448	1924
189	450	1921
190	452	1916
191	454	1910
192	456	1908
193	458	1905
194	461	1903
195	462	1899
196	464	1893
197	465	1887
198	467	1881
199	468	1875
200	472	1877
201	475	1879
202	477	1874
203	478	1867
204	480	1861
205	481	1855
206	482	1848
207	484	1843
208	487	1846
209	489	1842
210	491	1836
211	492	1829
212	493	1824
213	494	1817
